publicationTitle,Authors,yearOfPublication,publicationVenue,publicationID
The Priority R-tree: a practically efficient and worst-case optimal R-tree,"['Lars Arge', 'Mark de Berg', 'Herman J. Haverkort', 'Ke Yi']",2004,SIGMOD,5390972920f70186a0dfaca4
Online maintenance of very large random samples,"['Christopher Jermaine', 'Abhijit Pol', 'Subramanian Arumugam']",2004,SIGMOD,5390972920f70186a0dfaca0
Integrating vertical and horizontal partitioning into automated physical database design,"['Sanjay Agrawal', 'Vivek Narasayya', 'Beverly Yang']",2004,SIGMOD,5390972920f70186a0dfaca5
Graph indexing: a frequent structure-based approach,"['Xifeng Yan', 'Philip S. Yu', 'Jiawei Han']",2004,SIGMOD,5390972920f70186a0dfaca3
Conditional selectivity for statistics on query expressions,"['Nicolas Bruno', 'Surajit Chaudhuri']",2004,SIGMOD,5390972920f70186a0dfaca1
Computing Clusters of Correlation Connected objects,"['Christian Böhm', 'Karin Kailing', 'Peer Kröger', 'Arthur Zimek']",2004,SIGMOD,5390972920f70186a0dfacad
Transaction support for indexed summary views,"['Goetz Graefe', 'Michael Zwilling']",2004,SIGMOD,5390972920f70186a0dfaca2
Fast computation of database operations using graphics processors,"['Naga K. Govindaraju', 'Brandon Lloyd', 'Wei Wang', 'Ming Lin', 'Dinesh Manocha']",2004,SIGMOD,5390972920f70186a0dfac99
Approximate XML query answers,"['Neoklis Polyzotis', 'Minos Garofalakis', 'Yannis Ioannidis']",2004,SIGMOD,5390972920f70186a0dfac9d
A bi-level Bernoulli scheme for database sampling,"['Peter J. Haas', 'Christian König']",2004,SIGMOD,5390972920f70186a0dfac9e
"Identifying similarities, periodicities and bursts for online search queries","['Michail Vlachos', 'Christopher Meek', 'Zografoula Vagena', 'Dimitrios Gunopulos']",2004,SIGMOD,5390972920f70186a0dfac92
Rank-aware query optimization,"['Ihab F. Ilyas', 'Rahul Shah', 'Walid G. Aref', 'Jeffrey Scott Vitter', 'Ahmed K. Elmagarmid']",2004,SIGMOD,5390972920f70186a0dfac98
Data stream management for historical XML data,"['Sujoe Bose', 'Leonidas Fegaras']",2004,SIGMOD,5390972920f70186a0dfac9b
Compressing historical information in sensor networks,"['Antonios Deligiannakis', 'Yannis Kotidis', 'Nick Roussopoulos']",2004,SIGMOD,5390972920f70186a0dfacb3
A formal analysis of information disclosure in data exchange,"['Gerome Miklau', 'Dan Suciu']",2004,SIGMOD,5390972920f70186a0dfacb7
iMAP: discovering complex semantic matches between database schemas,"['Robin Dhamankar', 'Yoonkyong Lee', 'AnHai Doan', 'Alon Halevy', 'Pedro Domingos']",2004,SIGMOD,5390972920f70186a0dfaca7
Extending query rewriting techniques for fine-grained access control,"['Shariq Rizvi', 'Alberto Mendelzon', 'S. Sudarshan', 'Prasan Roy']",2004,SIGMOD,5390972920f70186a0dfacb5
Efficient query reformulation in peer data management systems,"['Igor Tatarinov', 'Alon Halevy']",2004,SIGMOD,5390972920f70186a0dfacb4
Approximation techniques for spatial data,"['Abhinandan Das', 'Johannes Gehrke', 'Mirek Riedewald']",2004,SIGMOD,5390972920f70186a0dfacc1
Indexing spatio-temporal trajectories with Chebyshev polynomials,"['Yuhan Cai', 'Raymond Ng']",2004,SIGMOD,5390972920f70186a0dfacb9
TOSS: an extension of TAX with ontologies and similarity queries,"['Edward Hung', 'Yu Deng', 'V. S. Subrahmanian']",2004,SIGMOD,5390972920f70186a0dfacc3
Spatially-decaying aggregation over a network: model and algorithms,"['Edith Cohen', 'Haim Kaplan']",2004,SIGMOD,5390972920f70186a0dfacc2
Buffering databse operations for enhanced instruction cache performance,"['Jingren Zhou', 'Kenneth A. Ross']",2004,SIGMOD,5390972920f70186a0dfac97
Order preserving encryption for numeric data,"['Rakesh Agrawal', 'Jerry Kiernan', 'Ramakrishnan Srikant', 'Yirong Xu']",2004,SIGMOD,5390972920f70186a0dfacb6
Diamond in the rough: finding Hierarchical Heavy Hitters in multi-dimensional data,"['Graham Cormode', 'Flip Korn', 'S. Muthukrishnan', 'Divesh Srivastava']",2004,SIGMOD,5390972920f70186a0dfac94
Understanding Web query interfaces: best-effort parsing with hidden syntax,"['Zhen Zhang', 'Bin He', 'Kevin Chen-Chuan Chang']",2004,SIGMOD,5390972920f70186a0dfac90
Automatic categorization of query results,"['Kaushik Chakrabarti', 'Surajit Chaudhuri', 'Seung-won Hwang']",2004,SIGMOD,5390972920f70186a0dfacc6
Optimization of query streams using semantic prefetching,"['Ivan T. Bowman', 'Kenneth Salem']",2004,SIGMOD,5390972920f70186a0dfac96
Cost-based labeling of groups of mass spectra,"['Lei Chen', 'Zheng Huang', 'Raghu Ramakrishnan']",2004,SIGMOD,5390972920f70186a0dfac95
Toward a progress indicator for database queries,"['Gang Luo', 'Jeffrey F. Naughton', 'Curt J. Ellmann', 'Michael W. Watzke']",2004,SIGMOD,5390972920f70186a0dfacc9
Query sampling in DB2 Universal Database,"['Jarek Gryz', 'Junjie Guo', 'Linqi Liu', 'Calisto Zuzarte']",2004,SIGMOD,5390972920f70186a0dfaccd
On the integration of structure indexes and inverted lists,"['Raghav Kaushik', 'Rajasekar Krishnamurthy', 'Jeffrey F. Naughton', 'Raghu Ramakrishnan']",2004,SIGMOD,5390972920f70186a0dfacc8
Estimating progress of execution for SQL queries,"['Surajit Chaudhuri', 'Vivek Narasayya', 'Ravishankar Ramamurthy']",2004,SIGMOD,5390972920f70186a0dfacca
When one sample is not enough: improving text database selection using shrinkage,"['Panagiotis G. Ipeirotis', 'Luis Gravano']",2004,SIGMOD,5390972920f70186a0dfacc7
Information-theoretic tools for mining database structure from large data sets,"['Periklis Andritsos', 'Renée J. Miller', 'Panayiotis Tsaparas']",2004,SIGMOD,5390972920f70186a0dfacc4
Vertical and horizontal percentage aggregations,['Carlos Ordonez'],2004,SIGMOD,5390972920f70186a0dfacd2
BLAS: an efficient XPath processing system,"['Yi Chen', 'Susan B. Davidson', 'Yifeng Zheng']",2004,SIGMOD,5390972920f70186a0dfac8b
FARMER: finding interesting rule groups in microarray datasets,"['Gao Cong', 'Anthony K. H. Tung', 'Xin Xu', 'Feng Pan', 'Jiong Yang']",2004,SIGMOD,5390972920f70186a0dfac93
Efficient processing of XML twig queries with OR-predicates,"['Haifeng Jiang', 'Hongjun Lu', 'Wei Wang']",2004,SIGMOD,5390972920f70186a0dfac8c
Requirements and policy challenges in highly secure environments,['Dean E. Hall'],2004,SIGMOD,5390972920f70186a0dfacda
Load management and high availability in the Medusa distributed stream processing system,"['Magdalena Balazinska', 'Hari Balakrishnan', 'Michael Stonebraker']",2004,SIGMOD,5390972920f70186a0dface9
StreaMon: an adaptive engine for stream query processing,"['Shivnath Babu', 'Jennifer Widom']",2004,SIGMOD,5390972920f70186a0dfacea
MAIDS: mining alarming incidents from data streams,"['Y. Dora Cai', 'David Clutter', 'Greg Pape', 'Jiawei Han', 'Michael Welge', 'Loretta Auvil']",2004,SIGMOD,5390972920f70186a0dface4
Web-CAM: monitoring the dynamic Web to respond to continual queries,"['Shaveen Garg', 'Krithi Ramamritham', 'Soumen Chakrabarti']",2004,SIGMOD,5390972920f70186a0dface8
PIPES: a public infrastructure for processing and exploring streams,"['Jürgen Krämer', 'Bernhard Seeger']",2004,SIGMOD,5390972920f70186a0dface7
DataMIME™,"['Masum Serazi', 'Vasily Malakhov', 'Dongmei Ren', 'Amal Perera', 'Imad Rahal', 'Weihua Wu', 'Qiang Ding', 'Fei Pan', 'William Perrizo']",2004,SIGMOD,5390972920f70186a0dface6
LexEQUAL: multilexical matching operator in SQL,"['A. Kumaran', 'Jayant R. Haritsa']",2004,SIGMOD,5390972920f70186a0dfacf3
Managing healthcare data hippocratically,"['Rakesh Agrawal', 'Ameet Kini', 'Kristen LeFevre', 'Amy Wang', 'Yirong Xu', 'Diana Zhou']",2004,SIGMOD,5390972920f70186a0dfacf2
ITQS: an integrated transport query system,"['B. Huang', 'Z. Huang', 'H. Li', 'D. Lin', 'H. Lu', 'Y. Song']",2004,SIGMOD,5390972920f70186a0dfacf4
Security of shared data in large systems: state of the art and research directions,"['Arnon Rosenthal', 'Marianne Winslett']",2004,SIGMOD,5390972920f70186a0dfacf9
Efficient development of data migration transformations,"['Paulo Carreira', 'Helena Galhardas']",2004,SIGMOD,5390972920f70186a0dface2
FAÇADE: a fast and effective approach to the discovery of dense clusters in noisy spatial data,"['Yu Qian', 'Gang Zhang', 'Kang Zhang']",2004,SIGMOD,5390972920f70186a0dface5
Liquid data for WebLogic: integrating enterprise data and services,['Vinayak Borkar'],2004,SIGMOD,5390972920f70186a0dface3
CAMAS: a citizen awareness system for crisis mitigation,"['Sharad Mehrotra', 'Carter Butts', 'Dmitri V. Kalashnikov', 'Nalini Venkatasubramanian', 'Kemal Altintas', 'Ram Hariharan', 'Haimin Lee', 'Yiming Ma', 'Amnon Myers', 'Jehan Wickramasuriya', 'Ron Eguchi', 'Charles Huyck']",2004,SIGMOD,5390972920f70186a0dfacf6
Knocking the door to the deep Web: integrating Web query interfaces,"['Bin He', 'Zhen Zhang', 'Kevin Chen-Chuan Chang']",2004,SIGMOD,5390972920f70186a0dface1
Declarative specification of Web applications exploiting Web services and workflows,"['Marco Brambilla', 'Stefano Ceri', 'Sara Comai', 'Marco Dario', 'Piero Fraternali', 'Ioana Manolescu']",2004,SIGMOD,5390972920f70186a0dfacdf
Yoo-Hoo!: building a presence service with XQuery and WSDL,"['Mary Fernández', 'Nicola Onose', 'Jérôme Siméon']",2004,SIGMOD,5390972920f70186a0dface0
Efficient set joins on similarity predicates,"['Sunita Sarawagi', 'Alok Kirpal']",2004,SIGMOD,5390972920f70186a0dfacc5
XML in the middle: XQuery in the WebLogic Platform,['Michael J. Carey'],2004,SIGMOD,5390972920f70186a0dfacdd
Service-oriented BI: towards tight integration of business intelligence into operational applications,"['Marcus Dill', 'Achim Kraiss', 'Stefan Sigg', 'Thomas Zurek']",2004,SIGMOD,5390972920f70186a0dfacdc
Information assurance technical challenges,['Nicholas J. Multari'],2004,SIGMOD,5390972920f70186a0dfacdb
dbSwitch™: towards a database utility,"['Shaul Dar', 'Gil Hecht', 'Eden Shochat']",2004,SIGMOD,5390972920f70186a0dfacd9
Model-driven business UI based on maps,['Per Bendsen'],2004,SIGMOD,5390972920f70186a0dfacd8
SoundCompass: a practical query-by-humming system; normalization of scalable and shiftable time-series data and effective subsequence generation,"['Naoko Kosugi', 'Yasushi Sakurai', 'Masashi Morimoto']",2004,SIGMOD,5390972920f70186a0dfacd7
Enabling sovereign information sharing using Web Services,"['Rakesh Agrawal', 'Dmitri Asonov', 'Ramakrishnan Srikant']",2004,SIGMOD,5390972920f70186a0dfacd4
"Secure, reliable, transacted: innovation in Web Services architecture",['Martin Gudgin'],2004,SIGMOD,5390972920f70186a0dfacd6
"Highly available, fault-tolerant, parallel dataflows","['Mehul A. Shah', 'Joseph M. Hellerstein', 'Eric Brewer']",2004,SIGMOD,5390972920f70186a0dfaccc
Parallel SQL execution in Oracle 10g,"['Thierry Cruanes', 'Benoit Dageville', 'Bhaskar Ghosh']",2004,SIGMOD,5390972920f70186a0dfaccf
"Relaxed currency and consistency: how to say ""good enough"" in SQL","['Hongfei Guo', 'Per-Åke Larson', 'Raghu Ramakrishnan', 'Jonathan Goldstein']",2004,SIGMOD,5390972920f70186a0dfaccb
Building dynamic application networks with Web Services,['Matthew Mihic'],2004,SIGMOD,5390972920f70186a0dfacd5
Hosting the .NET Runtime in Microsoft SQL server,"['Alazel Acheson', 'Mason Bendixen', 'José A. Blakeley', 'Peter Carlin', 'Ebru Ersan', 'Jun Fang', 'Xiaowei Jiang', 'Christian Kleinerman', 'Balaji Rathakrishnan', 'Gideon Schaller', 'Beysim Sezgin', 'Ramachandran Venkatesh', 'Honggang Zhang']",2004,SIGMOD,5390972920f70186a0dfacd1
Models for Web Services tansactions,['Mark Little'],2004,SIGMOD,5390972920f70186a0dfacd3
Data densification in a relational database system,"['Abhinav Gupta', 'Sankar Subramanian', 'Srikanth Bellamkonda', 'Tolga Bozkaya', 'Nathan Folkert', 'Lei Sheng', 'Andrew Witkowski']",2004,SIGMOD,5390972920f70186a0dfacd0
Query processing for SQL updates,"['César A. Galindo-Legaria', 'Stefano Stefani', 'Florian Waas']",2004,SIGMOD,5390972920f70186a0dfacce
Secure XML querying with security views,"['Wenfei Fan', 'Chee-Yong Chan', 'Minos Garofalakis']",2004,SIGMOD,5390972920f70186a0dfacb8
Joining interval data in relational databases,"['Jost Enderle', 'Matthias Hampel', 'Thomas Seidl']",2004,SIGMOD,5390972920f70186a0dfacc0
SINA: scalable incremental processing of continuous queries in spatio-temporal databases,"['Mohamed F. Mokbel', 'Xiaopeing Xiong', 'Walid G. Aref']",2004,SIGMOD,5390972920f70186a0dfacbb
CORDS: automatic discovery of correlations and soft functional dependencies,"['Ihab F. Ilyas', 'Volker Markl', 'Peter Haas', 'Paul Brown', 'Ashraf Aboulnaga']",2004,SIGMOD,5390972920f70186a0dfacbd
Robust query processing through progressive optimization,"['Volker Markl', 'Vijayshankar Raman', 'David Simmen', 'Guy Lohman', 'Hamid Pirahesh', 'Miso Cilimdzic']",2004,SIGMOD,5390972920f70186a0dfacbe
Prediction and indexing of moving objects with unknown motion patterns,"['Yufei Tao', 'Christos Faloutsos', 'Dimitris Papadias', 'Bin Liu']",2004,SIGMOD,5390972920f70186a0dfacba
STRIPES: an efficient index for predicted trajectories,"['Jignesh M. Patel', 'Yun Chen', 'V. Prasad Chakka']",2004,SIGMOD,5390972920f70186a0dfacbc
Canonical abstraction for outerjoin optimization,"['Jun Rao', 'Hamid Pirahesh', 'Calisto Zuzarte']",2004,SIGMOD,5390972920f70186a0dfacbf
The price of validity in dynamic networks,"['Mayank Bawa', 'Aristides Gionis', 'Hector Garcia-Molina', 'Rajeev Motwani']",2004,SIGMOD,5390972920f70186a0dfacb2
Static optimization of conjunctive queries with sliding windows over infinite streams,"['Ahmed M. Ayad', 'Jeffrey F. Naughton']",2004,SIGMOD,5390972920f70186a0dfacaa
Adapting to source properties in processing data integration queries,"['Zachary G. Ives', 'Alon Y. Halevy', 'Daniel S. Weld']",2004,SIGMOD,5390972920f70186a0dfaca8
Constraint-based XML query rewriting for data integration,"['Cong Yu', 'Lucian Popa']",2004,SIGMOD,5390972920f70186a0dfaca6
Clustering objects on a spatial network,"['Man Lung Yiu', 'Nikos Mamoulis']",2004,SIGMOD,5390972920f70186a0dfacac
Dynamic plan migration for continuous queries over data streams,"['Yali Zhu', 'Elke A. Rundensteiner', 'George T. Heineman']",2004,SIGMOD,5390972920f70186a0dfacab
Incremental evaluation of schema-directed XML publishing,"['Philip Bohannon', 'Byron Choi', 'Wenfei Fan']",2004,SIGMOD,5390972920f70186a0dfacb1
Incremental and effective data summarization for dynamic hierarchical clustering,"['Samer Nassar', 'Jörg Sander', 'Corrine Cheng']",2004,SIGMOD,5390972920f70186a0dfacae
Implementing a scalable XML publish/subscribe system using relational database systems,"['Feng Tian', 'Berthold Reinwald', 'Hamid Pirahesh', 'Tobias Mayr', 'Jussi Myllymaki']",2004,SIGMOD,5390972920f70186a0dfacaf
Adaptive ordering of pipelined stream filters,"['Shivnath Babu', 'Rajeev Motwani', 'Kamesh Munagala', 'Itaru Nishizawa', 'Jennifer Widom']",2004,SIGMOD,5390972920f70186a0dfaca9
Incremental maintenance of XML structural indexes,"['Ke Yi', 'Hao He', 'Ioana Stanoi', 'Jun Yang']",2004,SIGMOD,5390972920f70186a0dfacb0
Tools for design of composite Web services,"['Richard Hull', 'Jianwen Su']",2004,SIGMOD,5390972920f70186a0dfacf8
Indexing and mining streams,['Christos Faloutsos'],2004,SIGMOD,5390972920f70186a0dfacfb
"Fast algorithms for time series with applications to finance, physics, music, biology, and other suspects","['Alberto Lerner', 'Dennis Shasha', 'Zhihua Wang', 'Xiaojian Zhao', 'Yunyue Zhu']",2004,SIGMOD,5390972920f70186a0dfacfa
Rethinking the conference reviewing process,"['Michael J. Franklin', 'Jennifer Widom', 'Anastassia Ailamaki', 'Philip A. Bernstein', 'David DeWitt', 'Alon Halevy', 'Zachary Ives', 'Gerhard Weikum']",2004,SIGMOD,5390972920f70186a0dfacf7
BODHI: a database habitat for bio-diversity information,"['Srikanta J. Bedathur', 'Abhijit Kadlag', 'Jayant R. Haritsa']",2004,SIGMOD,5390972920f70186a0dfacf5
A TeXQuery-based XML full-text search engine,"['Chavdar Botev', 'Sihem Amer-Yahia', 'Jayavel Shanmugasundaram']",2004,SIGMOD,5390972920f70186a0dfacf0
ORDPATHs: insert-friendly XML node labels,"[""Patrick O'Neil"", ""Elizabeth O'Neil"", 'Shankar Pal', 'Istvan Cseri', 'Gideon Schaller', 'Nigel Westbury']",2004,SIGMOD,5390972920f70186a0dfacde
"""Share your data, keep your secrets.""","['Irini Fundulaki', 'Arnaud Sahuguet']",2004,SIGMOD,5390972920f70186a0dfacf1
XSeq: an indexing infrastructure for tree pattern queries,"['Xiaofeng Meng', 'Yu Jiang', 'Yan Chen', 'Haixun Wang']",2004,SIGMOD,5390972920f70186a0dfacef
Support for relaxed currency and consistency constraints in MTCache,"['Hongfei Guo', 'Per-Åke Larson', 'Raghu Ramakrishnan', 'Jonathan Goldstein']",2004,SIGMOD,5390972920f70186a0dfaced
An indexing framework for peer-to-peer systems,"['Adina Crainiceanu', 'Prakash Linga', 'Ashwin Machanavajjhala', 'Johannes Gehrke', 'Jayavel Shanmugasundaram']",2004,SIGMOD,5390972920f70186a0dfacee
P2P-DIET: an extensible P2P service that unifies ad-hoc and continuous querying in super-peer networks,"['Stratos Idreos', 'Manolis Koubarakis', 'Christos Tryfonopoulos']",2004,SIGMOD,5390972920f70186a0dfaceb
Querying at Internet scale,"['Brent Chun', 'Joseph M. Hellerstein', 'Ryan Huebsch', 'Shawn R. Jeffery', 'Boon Thau Loo', 'Sam Mardanbeigi', 'Timothy Roscoe', 'Sean Rhea', 'Scott Shenker', 'Ion Stoica']",2004,SIGMOD,5390972920f70186a0dfacec
Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,"['Gautam Das', 'Bing Liu', 'Philip S. Yu']",2004,SIGMOD,5390972920f70186a0dfafa3
An associative classifier based on positive and negative rules,"['Maria-Luiza Antonie', 'Osmar R. Zaïane']",2004,SIGMOD,5390972920f70186a0dfafac
Discovery of ads web hosts through traffic data analysis,"['V. Bacarella', 'F. Giannotti', 'M. Nanni', 'D. Pedreschi']",2004,SIGMOD,5390972920f70186a0dfafae
COFI approach for mining frequent itemsets revisited,"['Mohammad El-Hajj', 'Osmar R. Zaïane']",2004,SIGMOD,5390972920f70186a0dfafad
Horizontal aggregations for building tabular data sets,['Carlos Ordonez'],2004,SIGMOD,5390972920f70186a0dfafa8
Iterative record linkage for cleaning and integration,"['Indrajit Bhattacharya', 'Lise Getoor']",2004,SIGMOD,5390972920f70186a0dfafa5
Privacy-preserving data integration and sharing,"['Chris Clifton', 'Murat Kantarcioǧlu', 'AnHai Doan', 'Gunther Schadow', 'Jaideep Vaidya', 'Ahmed Elmagarmid', 'Dan Suciu']",2004,SIGMOD,5390972920f70186a0dfafa6
FP-tax: tree structure based generalized association rule mining,"['Iko Pramudiono', 'Masaru Kitsuregawa']",2004,SIGMOD,5390972920f70186a0dfafab
Discovering spatial patterns accurately with effective noise removal,"['Yu Qian', 'Kang Zhang']",2004,SIGMOD,5390972920f70186a0dfafa9
Diagonally Subgraphs Pattern Mining,"['Moti Cohen', 'Ehud Gudes']",2004,SIGMOD,5390972920f70186a0dfafaa
Mining association rules with non-uniform privacy concerns,"['Yi Xia', 'Yirong Yang', 'Yun Chi']",2004,SIGMOD,5390972920f70186a0dfafa7
Mining complex matchings across Web query interfaces,"['Bin He', 'Kevin Chen-Chuan Chang', 'Jiawei Han']",2004,SIGMOD,5390972920f70186a0dfafa4
Querying bi-level information,"['Sudarshan Murthy', 'David Maier', 'Lois Delcambre']",2004,SIGMOD,5390975920f70186a0dfc97d
Visualizing and discovering web navigational patterns,"['Jiyang Chen', 'Lisheng Sun', 'Osmar R. Zaïane', 'Randy Goebel']",2004,SIGMOD,5390975920f70186a0dfc97e
Semantic multicast for content-based stream dissemination,"['Olga Papaemmanouil', 'Uĝur Çetintemel']",2004,SIGMOD,5390975920f70186a0dfc982
Best-match querying from document-centric XML,"['Jaap Kamps', 'Maarten Marx', 'Maarten de Rijke', 'Börkur Sigurbjörnsson']",2004,SIGMOD,5390975920f70186a0dfc985
Checking potential validity of XML documents,"['Ionut E. Iacob', 'Alex Dekhtyar', 'Michael I. Dekhtyar']",2004,SIGMOD,5390975920f70186a0dfc98b
Querying peer-to-peer networks using P-trees,"['Adina Crainiceanu', 'Prakash Linga', 'Johannes Gehrke', 'Jayavel Shanmugasundaram']",2004,SIGMOD,5390975920f70186a0dfc980
One torus to rule them all: multi-dimensional queries in P2P systems,"['Prasanna Ganesan', 'Beverly Yang', 'Hector Garcia-Molina']",2004,SIGMOD,5390975920f70186a0dfc97f
Twig query processing over graph-structured XML data,"['Zografoula Vagena', 'Mirella M. Moro', 'Vassilis J. Tsotras']",2004,SIGMOD,5390975920f70186a0dfc983
Mining approximate functional dependencies and concept similarities to answer imprecise queries,"['Ullas Nambiar', 'Subbarao Kambhampati']",2004,SIGMOD,5390975920f70186a0dfc988
DTDs versus XML schema: a practical study,"['Geert Jan Bex', 'Frank Neven', 'Jan Van den Bussche']",2004,SIGMOD,5390975920f70186a0dfc989
Content and structure in indexing and ranking XML,"['Felix Weigel', 'Holger Meuss', 'Klaus U. Schulz', 'François Bry']",2004,SIGMOD,5390975920f70186a0dfc987
On validation of XML streams using finite state machines,"['Cristiana Chitic', 'Daniela Rosu']",2004,SIGMOD,5390975920f70186a0dfc98a
Challenges in selecting paths for navigational queries: trade-off of benefit of path versus cost of plan,"['María-Esther Vidal', 'Louiqa Raschid', 'Julian Mestre']",2004,SIGMOD,5390975920f70186a0dfc986
"Spam, damn spam, and statistics: using statistical analysis to locate spam web pages","['Dennis Fetterly', 'Mark Manasse', 'Marc Najork']",2004,SIGMOD,5390975920f70186a0dfc97c
Scalable dissemination: what's hot and what's not,"['Jonathan Beaver', 'Nicholas Morsillo', 'Kirk Pruhs', 'Panos K. Chrysanthis', 'Vincenzo Liberatore']",2004,SIGMOD,5390975920f70186a0dfc981
Unraveling the duplicate-elimination problem in XML-to-SQL query translation,"['Rajasekar Krishnamurthy', 'Raghav Kaushik', 'Jeffrey F Naughton']",2004,SIGMOD,5390975920f70186a0dfc984
Text Centric Structure Extraction and Exploitation (abstract only),['Prabhakar Raghavan'],2004,SIGMOD,5390975920f70186a0dfdc0c
The VLDB Journal — The International Journal on Very Large Data Bases,,2004,VLDB,5590e1730cf2baaad9717854
Best papers of VLDB 2003,"['Johann-Christoph Freytag', 'Serge Abiteboul', 'Mike Carey']",2004,VLDB,5390975920f70186a0dfe096
Automatic integration of Web search interfaces with WISE-Integrator,"['Hai He', 'Weiyi Meng', 'Clement Yu', 'Zonghuan Wu']",2004,VLDB,5390975920f70186a0dfe094
"Adaptive, unsupervised stream mining","['Spiros Papadimitriou', 'Anthony Brockwell', 'Christos Faloutsos']",2004,VLDB,5390975920f70186a0dfe097
Supporting top-k join queries in relational databases,"['Ihab F. Ilyas', 'Walid G. Aref', 'Ahmed K. Elmagarmid']",2004,VLDB,5390975920f70186a0dfe095
Preserving mapping consistency under schema changes,"['Yannis Velegrakis', 'J. Miller', 'Lucian Popa']",2004,VLDB,5390975920f70186a0dfe099
Exploring the tradeoff between performance and data freshness in database-driven Web servers,"['Alexandros Labrinidis', 'Nick Roussopoulos']",2004,VLDB,5390975920f70186a0dfe098
Life science research and data management—what can they give each other?,['Amarnath Gupta'],2004,SIGMOD,5390975920f70186a0dfe2ab
Database management for life sciences research,"['H. V. Jagadish', 'Frank Olken']",2004,SIGMOD,5390975920f70186a0dfe2ac
An optimal algorithm for querying tree structures and its applications in bioinformatics,"['Hsiao-Fei Liu', 'Ya-Hui Chang', 'Kun-Mao Chao']",2004,SIGMOD,5390975920f70186a0dfe2ad
A distributed database for bio-molecular images,"['Ambuj K. Singh', 'B. S. Manjunath', 'Robert F. Murphy']",2004,SIGMOD,5390975920f70186a0dfe2b4
BIO-AJAX: an extensible framework for biological data cleaning,"['Katherine G. Herbert', 'Narain H. Gehani', 'William H. Piel', 'Jason T. L. Wang', 'Cathy H. Wu']",2004,SIGMOD,5390975920f70186a0dfe2b2
Piers: an efficient model for similarity search in DNA sequence databases,"['Xia Cao', 'Shuai Cheng Li', 'Beng Chin Ooi', 'Anthony K. H. Tung']",2004,SIGMOD,5390975920f70186a0dfe2b0
BioFast: challenges in exploring linked life sciences sources,"['Jens Bleiholder', 'Felix Naumann', 'Zoé Lacroix', 'Louiqa Raschid', 'Hyma Murthy', 'Maria-Esther Vidal']",2004,SIGMOD,5390975920f70186a0dfe2b5
"Review of ""Managing gigabytes: compressing and indexing documents and images, by Ian H. Witten, Alistair Moffat, and Timothy C. Bell"" Morgan Kauffman, 1999, 519 pp. ISBN 1558605703.",['S. V. Nagaraj'],2004,SIGMOD,5390975920f70186a0dfe2bb
"Jeffrey naughton speaks out on database systems as control freaks, how to choose students, how to choose problems, how to get attention, the importance of being true to yourself, and more",['Marianne Winslett'],2004,SIGMOD,5390975920f70186a0dfe2b9
Introducing an annotated bibliography on temporal and evolution aspects in the World Wide Web,['Fabio Grandi'],2004,SIGMOD,5390975920f70186a0dfe2b7
"Database tuning principles, experiments, and troubleshooting techniques","['Dennis Shasha', 'Philippe Bonnet', 'Nancy Hartline Bercich']",2004,SIGMOD,5390975920f70186a0dfe2bc
